date,platform,product_id,duration,billing_cycle,purchases
2018-02-14,iOS,1month_trial_old,1,1,10
2018-02-15,iOS,1month_trial_old,1,1,5
2018-02-16,iOS,1month_trial_old,1,1,5
2018-02-17,iOS,1month_trial_old,1,1,13
2018-02-18,iOS,1month_trial_old,1,1,11
2018-02-19,iOS,1month_trial_old,1,1,9
2018-02-20,iOS,1month_trial_old,1,1,14
2018-02-21,iOS,1month_trial_old,1,1,7
2018-02-22,iOS,1month_trial_old,1,1,6
2018-02-23,iOS,1month_trial_old,1,1,7
2018-02-24,iOS,1month_trial_old,1,1,7
2018-02-25,iOS,1month_trial_old,1,1,9
2018-02-26,iOS,1month_trial_old,1,1,9
2018-02-27,iOS,1month_trial_old,1,1,8
2018-02-28,iOS,1month_trial_old,1,1,9
2018-03-01,iOS,1month_trial_old,1,1,12
2018-03-02,iOS,1month_trial_old,1,1,8
2018-03-03,iOS,1month_trial_old,1,1,6
2018-03-04,iOS,1month_trial_old,1,1,6
2018-03-05,iOS,1month_trial_old,1,1,8
2018-03-06,iOS,1month_trial_old,1,1,7
2018-03-07,iOS,1month_trial_old,1,1,5
2018-03-08,iOS,1month_trial_old,1,1,4
2018-03-09,iOS,1month_trial_old,1,1,13
2018-03-10,iOS,1month_trial_old,1,1,14
2018-03-11,iOS,1month_trial_old,1,1,5
2018-03-12,iOS,1month_trial_old,1,1,6
2018-03-13,iOS,1month_trial_old,1,1,9
2018-03-14,iOS,1month_trial_old,1,1,5
2018-03-14,iOS,1month_trial_old,1,2,9
2018-03-15,iOS,1month_trial_old,1,1,5
2018-03-15,iOS,1month_trial_old,1,2,3
2018-03-16,iOS,1month_trial_old,1,1,1
2018-03-16,iOS,1month_trial_old,1,2,4
2018-03-17,iOS,1month_trial_old,1,1,4
2018-03-17,iOS,1month_trial_old,1,2,8
2018-03-18,iOS,1month_trial_old,1,2,11
2018-03-19,iOS,1month_trial_old,1,1,2
2018-03-19,iOS,1month_trial_old,1,2,6
2018-03-20,iOS,1month_trial_old,1,1,2
2018-03-20,iOS,1month_trial_old,1,2,7
2018-03-21,iOS,1month_trial_old,1,1,2
2018-03-21,iOS,1month_trial_old,1,2,6
2018-03-22,iOS,1month_trial_old,1,1,2
2018-03-22,iOS,1month_trial_old,1,2,4
2018-03-23,iOS,1month_trial_old,1,1,3
2018-03-23,iOS,1month_trial_old,1,2,6
2018-03-24,iOS,1month_trial_old,1,1,5
2018-03-24,iOS,1month_trial_old,1,2,8
2018-03-25,iOS,1month_trial_old,1,1,1
2018-03-25,iOS,1month_trial_old,1,2,8
2018-03-26,iOS,1month_trial_old,1,1,2
2018-03-26,iOS,1month_trial_old,1,2,8
2018-03-27,iOS,1month_trial_old,1,1,4
2018-03-27,iOS,1month_trial_old,1,2,5
2018-03-28,iOS,1month_trial_old,1,1,2
2018-03-28,iOS,1month_trial_old,1,2,5
2018-03-29,iOS,1month_trial_old,1,2,4
2018-03-30,iOS,1month_trial_old,1,1,3
2018-03-31,iOS,1month_trial_old,1,1,5
2018-04-01,iOS,1month_trial_old,1,1,1
2018-04-01,iOS,1month_trial_old,1,2,7
2018-04-02,iOS,1month_trial_old,1,2,9
2018-04-03,iOS,1month_trial_old,1,1,3
2018-04-03,iOS,1month_trial_old,1,2,5
2018-04-04,iOS,1month_trial_old,1,1,2
2018-04-04,iOS,1month_trial_old,1,2,4
2018-04-05,iOS,1month_trial_old,1,1,2
2018-04-05,iOS,1month_trial_old,1,2,5
2018-04-06,iOS,1month_trial_old,1,1,2
2018-04-06,iOS,1month_trial_old,1,2,4
2018-04-07,iOS,1month_trial_old,1,1,1
2018-04-07,iOS,1month_trial_old,1,2,5
2018-04-08,iOS,1month_trial_old,1,1,4
2018-04-08,iOS,1month_trial_old,1,2,3
2018-04-09,iOS,1month_trial_old,1,1,1
2018-04-09,iOS,1month_trial_old,1,2,8
2018-04-10,iOS,1month_trial_old,1,1,3
2018-04-10,iOS,1month_trial_old,1,2,11
2018-04-11,iOS,1month_trial_old,1,1,2
2018-04-11,iOS,1month_trial_old,1,2,5
2018-04-12,iOS,1month_trial_old,1,1,4
2018-04-12,iOS,1month_trial_old,1,2,2
2018-04-13,iOS,1month_trial_old,1,2,7
2018-04-14,iOS,1month_trial_old,1,1,6
2018-04-14,iOS,1month_trial_old,1,2,1
2018-04-14,iOS,1month_trial_old,1,3,6
2018-04-15,iOS,1month_trial_old,1,1,2
2018-04-15,iOS,1month_trial_old,1,2,5
2018-04-15,iOS,1month_trial_old,1,3,2
2018-04-16,iOS,1month_trial_old,1,1,2
2018-04-16,iOS,1month_trial_old,1,3,3
2018-04-17,iOS,1month_trial_old,1,1,1
2018-04-17,iOS,1month_trial_old,1,2,4
2018-04-17,iOS,1month_trial_old,1,3,7
2018-04-18,iOS,1month_trial_old,1,1,2
2018-04-18,iOS,1month_trial_old,1,3,10
2018-04-19,iOS,1month_trial_old,1,1,1
2018-04-19,iOS,1month_trial_old,1,3,4
2018-04-20,iOS,1month_trial_old,1,2,3
2018-04-20,iOS,1month_trial_old,1,3,6
2018-04-21,iOS,1month_trial_old,1,1,2
2018-04-21,iOS,1month_trial_old,1,2,1
2018-04-21,iOS,1month_trial_old,1,3,5
2018-04-22,iOS,1month_trial_old,1,1,1
2018-04-22,iOS,1month_trial_old,1,2,1
2018-04-22,iOS,1month_trial_old,1,3,3
2018-04-23,iOS,1month_trial_old,1,1,1
2018-04-23,iOS,1month_trial_old,1,2,2
2018-04-23,iOS,1month_trial_old,1,3,6
2018-04-24,iOS,1month_trial_old,1,1,3
2018-04-24,iOS,1month_trial_old,1,2,5
2018-04-24,iOS,1month_trial_old,1,3,8
2018-04-25,iOS,1month_trial_old,1,2,1
2018-04-25,iOS,1month_trial_old,1,3,6
2018-04-26,iOS,1month_trial_old,1,1,2
2018-04-26,iOS,1month_trial_old,1,2,4
2018-04-26,iOS,1month_trial_old,1,3,6
2018-04-27,iOS,1month_trial_old,1,1,2
2018-04-27,iOS,1month_trial_old,1,2,3
2018-04-27,iOS,1month_trial_old,1,3,4
2018-04-28,iOS,1month_trial_old,1,1,5
2018-04-28,iOS,1month_trial_old,1,2,2
2018-04-28,iOS,1month_trial_old,1,3,4
2018-04-29,iOS,1month_trial_old,1,1,2
2018-04-29,iOS,1month_trial_old,1,3,2
2018-04-30,iOS,1month_trial_old,1,1,3
2018-04-30,iOS,1month_trial_old,1,2,6
2018-05-01,iOS,1month_trial_old,1,1,5
2018-05-01,iOS,1month_trial_old,1,2,1
2018-05-01,iOS,1month_trial_old,1,3,6
2018-05-02,iOS,1month_trial_old,1,1,3
2018-05-02,iOS,1month_trial_old,1,3,9
2018-05-03,iOS,1month_trial_old,1,1,1
2018-05-03,iOS,1month_trial_old,1,2,3
2018-05-03,iOS,1month_trial_old,1,3,3
2018-05-04,iOS,1month_trial_old,1,1,3
2018-05-04,iOS,1month_trial_old,1,2,1
2018-05-04,iOS,1month_trial_old,1,3,4
2018-05-05,iOS,1month_trial_old,1,1,5
2018-05-05,iOS,1month_trial_old,1,2,4
2018-05-05,iOS,1month_trial_old,1,3,3
2018-05-06,iOS,1month_trial_old,1,1,2
2018-05-06,iOS,1month_trial_old,1,2,2
2018-05-06,iOS,1month_trial_old,1,3,3
2018-05-07,iOS,1month_trial_old,1,1,1
2018-05-07,iOS,1month_trial_old,1,2,1
2018-05-07,iOS,1month_trial_old,1,3,5
2018-05-08,iOS,1month_trial_old,1,1,4
2018-05-08,iOS,1month_trial_old,1,2,4
2018-05-08,iOS,1month_trial_old,1,3,1
2018-05-09,iOS,1month_trial_old,1,2,2
2018-05-09,iOS,1month_trial_old,1,3,8
2018-05-10,iOS,1month_trial_old,1,1,1
2018-05-10,iOS,1month_trial_old,1,2,1
2018-05-10,iOS,1month_trial_old,1,3,10
2018-05-11,iOS,1month_trial_old,1,1,2
2018-05-11,iOS,1month_trial_old,1,2,3
2018-05-11,iOS,1month_trial_old,1,3,2
2018-05-12,iOS,1month_trial_old,1,1,4
2018-05-12,iOS,1month_trial_old,1,2,2
2018-05-12,iOS,1month_trial_old,1,3,1
2018-05-13,iOS,1month_trial_old,1,1,4
2018-05-13,iOS,1month_trial_old,1,3,6
2018-05-14,iOS,1month_trial_old,1,1,1
2018-05-14,iOS,1month_trial_old,1,2,4
2018-05-14,iOS,1month_trial_old,1,3,1
2018-05-14,iOS,1month_trial_old,1,4,4
2018-05-15,iOS,1month_trial_old,1,1,1
2018-05-15,iOS,1month_trial_old,1,2,1
2018-05-15,iOS,1month_trial_old,1,3,4
2018-05-15,iOS,1month_trial_old,1,4,2
2018-05-16,iOS,1month_trial_old,1,1,2
2018-05-16,iOS,1month_trial_old,1,2,1
2018-05-16,iOS,1month_trial_old,1,4,3
2018-05-17,iOS,1month_trial_old,1,1,1
2018-05-17,iOS,1month_trial_old,1,2,1
2018-05-17,iOS,1month_trial_old,1,3,3
2018-05-17,iOS,1month_trial_old,1,4,6
2018-05-18,iOS,1month_trial_old,1,1,2
2018-05-18,iOS,1month_trial_old,1,2,2
2018-05-18,iOS,1month_trial_old,1,3,2
2018-05-18,iOS,1month_trial_old,1,4,7
2018-05-19,iOS,1month_trial_old,1,1,1
2018-05-19,iOS,1month_trial_old,1,2,1
2018-05-19,iOS,1month_trial_old,1,4,4
2018-05-20,iOS,1month_trial_old,1,3,1
2018-05-20,iOS,1month_trial_old,1,4,5
2018-05-21,iOS,1month_trial_old,1,1,3
2018-05-21,iOS,1month_trial_old,1,2,1
2018-05-21,iOS,1month_trial_old,1,3,2
2018-05-21,iOS,1month_trial_old,1,4,5
2018-05-22,iOS,1month_trial_old,1,1,2
2018-05-22,iOS,1month_trial_old,1,2,1
2018-05-22,iOS,1month_trial_old,1,3,1
2018-05-22,iOS,1month_trial_old,1,4,3
2018-05-23,iOS,1month_trial_old,1,1,1
2018-05-23,iOS,1month_trial_old,1,2,1
2018-05-23,iOS,1month_trial_old,1,3,2
2018-05-23,iOS,1month_trial_old,1,4,6
2018-05-24,iOS,1month_trial_old,1,1,5
2018-05-24,iOS,1month_trial_old,1,2,1
2018-05-24,iOS,1month_trial_old,1,3,3
2018-05-24,iOS,1month_trial_old,1,4,7
2018-05-25,iOS,1month_trial_old,1,1,7
2018-05-25,iOS,1month_trial_old,1,4,6
2018-05-26,iOS,1month_trial_old,1,1,10
2018-05-26,iOS,1month_trial_old,1,3,3
2018-05-26,iOS,1month_trial_old,1,4,5
2018-05-27,iOS,1month_trial_old,1,1,4
2018-05-27,iOS,1month_trial_old,1,2,1
2018-05-27,iOS,1month_trial_old,1,3,3
2018-05-27,iOS,1month_trial_old,1,4,4
2018-05-28,iOS,1month_trial_old,1,1,1
2018-05-28,iOS,1month_trial_old,1,2,3
2018-05-28,iOS,1month_trial_old,1,3,1
2018-05-28,iOS,1month_trial_old,1,4,4
2018-05-29,iOS,1month_trial_old,1,2,4
2018-05-29,iOS,1month_trial_old,1,4,2
2018-05-30,iOS,1month_trial_old,1,1,3
2018-05-30,iOS,1month_trial_old,1,2,3
2018-05-30,iOS,1month_trial_old,1,3,6
2018-05-30,iOS,1month_trial_old,1,4,1
2018-05-31,iOS,1month_trial_old,1,1,6
2018-05-31,iOS,1month_trial_old,1,2,2
2018-05-31,iOS,1month_trial_old,1,3,1
2018-05-31,iOS,1month_trial_old,1,4,1
2018-06-01,iOS,1month_trial_old,1,1,12
2018-06-01,iOS,1month_trial_old,1,2,2
2018-06-01,iOS,1month_trial_old,1,4,4
2018-06-02,iOS,1month_trial_old,1,1,9
2018-06-02,iOS,1month_trial_old,1,2,2
2018-06-02,iOS,1month_trial_old,1,4,7
2018-06-03,iOS,1month_trial_old,1,1,10
2018-06-03,iOS,1month_trial_old,1,3,1
2018-06-03,iOS,1month_trial_old,1,4,3
2018-06-04,iOS,1month_trial_old,1,1,18
2018-06-04,iOS,1month_trial_old,1,2,1
2018-06-04,iOS,1month_trial_old,1,3,1
2018-06-04,iOS,1month_trial_old,1,4,4
2018-06-05,iOS,1month_trial_old,1,1,18
2018-06-05,iOS,1month_trial_old,1,2,4
2018-06-05,iOS,1month_trial_old,1,3,3
2018-06-05,iOS,1month_trial_old,1,4,2
2018-06-06,iOS,1month_trial_old,1,1,24
2018-06-06,iOS,1month_trial_old,1,2,2
2018-06-06,iOS,1month_trial_old,1,3,2
2018-06-06,iOS,1month_trial_old,1,4,2
2018-06-07,iOS,1month_trial_old,1,1,33
2018-06-07,iOS,1month_trial_old,1,3,1
2018-06-07,iOS,1month_trial_old,1,4,5
2018-06-08,iOS,1month_trial_old,1,1,30
2018-06-08,iOS,1month_trial_old,1,2,3
2018-06-08,iOS,1month_trial_old,1,3,4
2018-06-08,iOS,1month_trial_old,1,4,1
2018-06-09,iOS,1month_trial_old,1,1,39
2018-06-09,iOS,1month_trial_old,1,3,1
2018-06-09,iOS,1month_trial_old,1,4,5
2018-06-10,iOS,1month_trial_old,1,1,36
2018-06-10,iOS,1month_trial_old,1,2,1
2018-06-10,iOS,1month_trial_old,1,3,1
2018-06-10,iOS,1month_trial_old,1,4,9
2018-06-11,iOS,1month_trial_old,1,1,33
2018-06-11,iOS,1month_trial_old,1,2,1
2018-06-11,iOS,1month_trial_old,1,3,2
2018-06-11,iOS,1month_trial_old,1,4,2
2018-06-12,iOS,1month_trial_old,1,1,41
2018-06-12,iOS,1month_trial_old,1,2,2
2018-06-12,iOS,1month_trial_old,1,3,2
2018-06-12,iOS,1month_trial_old,1,4,2
2018-06-13,iOS,1month_trial_old,1,1,31
2018-06-13,iOS,1month_trial_old,1,2,3
2018-06-13,iOS,1month_trial_old,1,4,4
2018-06-14,iOS,1month_trial_old,1,1,34
2018-06-14,iOS,1month_trial_old,1,3,4
2018-06-14,iOS,1month_trial_old,1,4,3
2018-06-14,iOS,1month_trial_old,1,5,4
2018-06-15,iOS,1month_trial_old,1,1,46
2018-06-15,iOS,1month_trial_old,1,2,1
2018-06-15,iOS,1month_trial_old,1,3,1
2018-06-15,iOS,1month_trial_old,1,4,3
2018-06-15,iOS,1month_trial_old,1,5,2
2018-06-16,iOS,1month_trial_old,1,1,49
2018-06-16,iOS,1month_trial_old,1,2,1
2018-06-16,iOS,1month_trial_old,1,5,2
2018-06-17,iOS,1month_trial_old,1,1,53
2018-06-17,iOS,1month_trial_old,1,2,1
2018-06-17,iOS,1month_trial_old,1,3,1
2018-06-17,iOS,1month_trial_old,1,4,3
2018-06-17,iOS,1month_trial_old,1,5,5
2018-06-18,iOS,1month_trial_old,1,1,31
2018-06-18,iOS,1month_trial_old,1,2,2
2018-06-18,iOS,1month_trial_old,1,3,2
2018-06-18,iOS,1month_trial_old,1,4,1
2018-06-18,iOS,1month_trial_old,1,5,7
2018-06-19,iOS,1month_trial_old,1,1,32
2018-06-19,iOS,1month_trial_old,1,2,1
2018-06-19,iOS,1month_trial_old,1,3,1
2018-06-19,iOS,1month_trial_old,1,5,4
2018-06-20,iOS,1month_trial_old,1,1,44
2018-06-20,iOS,1month_trial_old,1,4,1
2018-06-20,iOS,1month_trial_old,1,5,5
2018-06-21,iOS,1month_trial_old,1,1,42
2018-06-21,iOS,1month_trial_old,1,2,4
2018-06-21,iOS,1month_trial_old,1,3,1
2018-06-21,iOS,1month_trial_old,1,4,1
2018-06-21,iOS,1month_trial_old,1,5,4
2018-06-22,iOS,1month_trial_old,1,1,35
2018-06-22,iOS,1month_trial_old,1,2,2
2018-06-22,iOS,1month_trial_old,1,4,1
2018-06-22,iOS,1month_trial_old,1,5,4
2018-06-23,iOS,1month_trial_old,1,1,50
2018-06-23,iOS,1month_trial_old,1,2,1
2018-06-23,iOS,1month_trial_old,1,4,2
2018-06-23,iOS,1month_trial_old,1,5,4
2018-06-24,iOS,1month_trial_old,1,1,46
2018-06-24,iOS,1month_trial_old,1,2,5
2018-06-24,iOS,1month_trial_old,1,3,1
2018-06-24,iOS,1month_trial_old,1,4,3
2018-06-24,iOS,1month_trial_old,1,5,5
2018-06-25,iOS,1month_trial_old,1,1,40
2018-06-25,iOS,1month_trial_old,1,2,5
2018-06-25,iOS,1month_trial_old,1,5,3
2018-06-26,iOS,1month_trial_old,1,1,38
2018-06-26,iOS,1month_trial_old,1,2,6
2018-06-26,iOS,1month_trial_old,1,4,3
2018-06-26,iOS,1month_trial_old,1,5,4
2018-06-27,iOS,1month_trial_old,1,1,44
2018-06-27,iOS,1month_trial_old,1,2,2
2018-06-27,iOS,1month_trial_old,1,3,1
2018-06-27,iOS,1month_trial_old,1,4,2
2018-06-27,iOS,1month_trial_old,1,5,4
2018-06-28,iOS,1month_trial_old,1,1,38
2018-06-28,iOS,1month_trial_old,1,2,1
2018-06-28,iOS,1month_trial_old,1,3,2
2018-06-28,iOS,1month_trial_old,1,4,1
2018-06-28,iOS,1month_trial_old,1,5,3
2018-06-29,iOS,1month_trial_old,1,1,67
2018-06-29,iOS,1month_trial_old,1,3,3
2018-06-29,iOS,1month_trial_old,1,5,2
2018-06-30,iOS,1month_trial_old,1,1,47
2018-06-30,iOS,1month_trial_old,1,2,6
2018-06-30,iOS,1month_trial_old,1,3,2
2018-06-30,iOS,1month_trial_old,1,4,5
2018-06-30,iOS,1month_trial_old,1,5,1
2018-07-01,iOS,1month_trial_old,1,1,51
2018-07-01,iOS,1month_trial_old,1,2,7
2018-07-01,iOS,1month_trial_old,1,3,3
2018-07-01,iOS,1month_trial_old,1,4,1
2018-07-01,iOS,1month_trial_old,1,5,5
2018-07-02,iOS,1month_trial_old,1,1,49
2018-07-02,iOS,1month_trial_old,1,2,6
2018-07-02,iOS,1month_trial_old,1,5,6
2018-07-03,iOS,1month_trial_old,1,1,28
2018-07-03,iOS,1month_trial_old,1,2,7
2018-07-03,iOS,1month_trial_old,1,4,1
2018-07-03,iOS,1month_trial_old,1,5,3
2018-07-04,iOS,1month_trial_old,1,1,46
2018-07-04,iOS,1month_trial_old,1,2,12
2018-07-04,iOS,1month_trial_old,1,3,2
2018-07-04,iOS,1month_trial_old,1,4,1
2018-07-04,iOS,1month_trial_old,1,5,2
2018-07-05,iOS,1month_trial_old,1,1,51
2018-07-05,iOS,1month_trial_old,1,2,10
2018-07-05,iOS,1month_trial_old,1,3,3
2018-07-05,iOS,1month_trial_old,1,4,1
2018-07-05,iOS,1month_trial_old,1,5,1
2018-07-06,iOS,1month_trial_old,1,1,53
2018-07-06,iOS,1month_trial_old,1,2,14
2018-07-06,iOS,1month_trial_old,1,3,1
2018-07-06,iOS,1month_trial_old,1,4,1
